question_cleaned,department_target,message_uid,question_original,department_original,is_short_question
"знаеш ли какво означават следните съкращения: кк, од, ктп?",Няколко пазара,1993f6f5-1dab-4061-abd2-5cf40ab2cff2,"Знаеш ли какво означават следните съкращения: КК, ОД, КТП?",Няколко пазара,False
изплащане на наследствен дял,Support_Services,7a2eede5-c719-4b4c-9da3-9252349847c2,изплащане на наследствен дял ,ПРАВНО,False
с доход 1300 лв. може ли клинта да получи кредит 60000,Пазар Потребителско кредитиране,6494a98a-c937-40f9-b3f4-ae964a109b6d,с доход 1300 лв. може ли клинта да получи кредит 60000,Пазар Потребителско кредитиране,False
какъв е минималния лимит по кк,Пазар Разсрочени плащания,b3fa0e0f-fc11-47e1-b8cb-f07e6b5411f6,какъв е минималния лимит по кк,Пазар Разсрочени плащания,False
със заплата 2700 лева какъв максимален лимит на потребителски кредит мога да изтегля?,Пазар Потребителско кредитиране,822dd627-9859-404a-a4ad-ed8d34aa7a18,със заплата 2700 лева какъв максимален лимит на потребителски кредит мога да изтегля?,Пазар Потребителско кредитиране,False
каква е таксата за реактивиране на ограничена сметка,Пазар Ежедневно банкиране,0d985efd-138f-40a3-aef6-dbf3f5b45423,каква е таксата за реактивиране на ограничена сметка,Пазар Ежедневно банкиране,False
теглене в брой от етажна собственост,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,2dd3be38-bc54-4bab-83b1-787ddaa47324,теглене в брой от етажна собственост,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
"когато клиент иска да потвърди плащане ползвайки дск онлайн,как ще го направи?",Пазар Ежедневно банкиране,f4cf52c9-1653-48f8-9bfb-4a8678dab87e,"когато клиент иска да потвърди плащане ползвайки дск онлайн,как ще го направи?",Пазар Ежедневно банкиране,False
здравей. помагаш ли с математически задачи? например колко е 2+2?,Други,b21ac5c5-8030-4fd4-b9c4-872800e63ec8,Здравей. помагаш ли с математически задачи? например колко е 2+2?,Други,False
планове за юридически лица,Пазар Малък бизнес,d00d057c-b750-4acd-a738-941de717c01f,планове за юридически лица,Пазар Малък бизнес,False
има ли възможност за млади семейства и облекчения по тях ?,Пазар Жилищни и ипотечни кредити,25f35fec-415c-4d29-85db-b198441fbcf5,Има ли възможност за млади семейства и облекчения по тях ? ,Пазар Жилищни и ипотечни кредити,False
в момента има ли преференций за дск макс които бяха в промоция,Пазар Ежедневно банкиране,2856304a-d063-4f79-9bf3-f3187a19e3be,В МОМЕНТА ИМА ЛИ ПРЕФЕРЕНЦИЙ ЗА ДСК МАКС КОИТО БЯХА В ПРОМОЦИЯ,Пазар Ежедневно банкиране,False
какви са таксите за ипотечен кредит в размер на 7000000 лева,Пазар Жилищни и ипотечни кредити,69e23dc3-2907-4032-b914-115e06144224,какви са таксите за ипотечен кредит в размер на 7000000 лева,Пазар Жилищни и ипотечни кредити,False
"кой от изброените фондове на дск управление на активи ад, дистрибутирани от банка дск, инвестира на регулирани пазари в българия и чужбина?",Пазар Спестяване и инвестиции,9c7f6722-2aae-45ad-a6a0-bf5b9d58883b,"Кой от изброените фондове на ДСК Управление на активи АД, дистрибутирани от Банка ДСК, инвестира на регулирани пазари в България и чужбина?",Пазар Спестяване и инвестиции,False
допускаме ли отклонение за кредитиране в изпитатален срок,Няколко пазара,821c41f1-c587-4952-aeb3-39b93baeae55,допускаме ли отклонение за кредитиране в изпитатален срок,Няколко пазара,False
какъв е срока за отговор при оспорване на транзакция?,Други,ec707fdc-b6a1-4d8b-8ceb-d641fd884fb2,какъв е срока за отговор при оспорване на транзакция?,Други,False
пълномощно предоставено в банката преди 2016г. може ли да се приеме зао валидно след новите условия,Support_Services,731bd928-cc6f-47c0-9d59-aa9b3e4bba4b,Пълномощно предоставено в банката преди 2016г. може ли да се приеме зао валидно след новите условия,ПРАВНО,False
"здравейте! имам абонамент за бизнес съобщенията на viber и получавам такива всеки път, когато извърша транзакция с картата си - теглене от банкомат или плащане на пос. има ли как да филтрирам тези съобщения, тъй като всеки ден използвам картата си средно между 3 и 4 пъти за плащане на пос, понякога и повече? имам ли опция да избирам какви съобщения мога да получавам спрямо вида транзакция?",Други,d1c1fceb-4b52-4932-be7e-60242c8ba304,"Здравейте! Имам абонамент за бизнес съобщенията на Viber и получавам такива всеки път, когато извърша транзакция с картата си - теглене от банкомат или плащане на ПОС. Има ли как да филтрирам тези съобщения, тъй като всеки ден използвам картата си средно между 3 и 4 пъти за плащане на ПОС, понякога и повече? Имам ли опция да избирам какви съобщения мога да получавам спрямо вида транзакция? ",Други,False
може ли студент да получи кредитна карта ?,Пазар Разсрочени плащания,91aeeaad-9371-4e2b-9ab4-fe27e4db3f26,Може ли студент да получи кредитна карта ?,Пазар Разсрочени плащания,False
какво представлява инвестиционната стратегия на фонда?,Пазар Спестяване и инвестиции,8a3b0fbd-1721-4922-a5e9-892585550a1f,какво представлява инвестиционната стратегия на фонда?,Пазар Спестяване и инвестиции,False
с колко имена трябва да се регистрира руски гражданин,Пазар Ежедневно банкиране,2f58ed50-52e6-4961-93d8-d00987e84621,С колко имена трябва да се регистрира руски гражданин,Пазар Ежедневно банкиране,False
премиум клиент е,Други,16941a43-d04a-42bf-b8f9-7d67a272d8fd,премиум клиент е,Други,False
къде в srm да видя дали документа за самоличност е валиден,Support_Services,036f29c9-92f1-4c16-b2ed-9185363e2c6b,къде в SRM да видя дали документа за самоличност е валиден,CRM,False
"в офиса в г. оряховица постъпи запитване от клиент за ипотечен кредит с доходи от чужбина. клиентът работи в холандия, набавил си е необходимите документи, българин е по рождение, но има само холандско гражданство, спазвайки разпоредбите на страната. възможно ли е кредитиране?",Пазар Жилищни и ипотечни кредити,8399db1e-eedd-4fc9-8d39-860405147eb2,"В офиса в Г. Оряховица постъпи запитване от клиент за ипотечен кредит с доходи от чужбина. Клиентът работи в Холандия, набавил си е необходимите документи, българин е по рождение, но има само Холандско гражданство, спазвайки разпоредбите на страната. Възможно ли е кредитиране?",Пазар Жилищни и ипотечни кредити,False
упф,Пазар Спестяване и инвестиции,599b1aa5-5e27-4c70-b874-4b4fd951ebda,УПФ,Пазар Спестяване и инвестиции,True
какви са преференциите по премиум план ?,Пазар Ежедневно банкиране,11b81fa9-c9cf-47d8-b432-76632694d242,Какви са преференциите по Премиум план ?,Пазар Ежедневно банкиране,False
колко дебитни карти може да има един клиент,Пазар Ежедневно банкиране,988fc30f-224f-48c9-9a33-37f2e1ba1992,колко дебитни карти може да има един клиент,Пазар Ежедневно банкиране,False
какви са допустимите просрочия за отпускане на кредит,Няколко пазара,6ab7741c-a286-4f6a-b617-e0da62f10233,Какви са допустимите просрочия за отпускане на кредит,Няколко пазара,False
в офис каква ще е таксата?,Пазар Ежедневно банкиране,b2b2a8b7-362b-4451-a7fa-2cd2e2893af5,В ОФИС КАКВА ЩЕ Е ТАКСАТА?,Пазар Ежедневно банкиране,False
по лесно предлагане на инвестиционни планове,Пазар Спестяване и инвестиции,a97a3f25-7bad-4e75-abb0-eef03f131066,по лесно предлагане на инвестиционни планове ,Пазар Спестяване и инвестиции,False
до колко часа се пуска заявка за теглене на пари на каса?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,860e7133-2e94-40a4-b756-3889461d00c3,до колко часа се пуска заявка за теглене на пари на каса?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
какъв е процента на финансиране по жилищен кредит ?,Пазар Жилищни и ипотечни кредити,34923d03-549f-4178-b772-08a27e22bb7b,Какъв е процента на финансиране по жилищен кредит ?,Пазар Жилищни и ипотечни кредити,False
"ако клиент иска да си закрие разплащателната сметка, а ползва кредит, може ли да го направи?",Пазар Потребителско кредитиране,c0e80d54-95fe-43f9-abea-12e340749829,"Ако клиент иска да си закрие разплащателната сметка, а ползва кредит, може ли да го направи?",Пазар Потребителско кредитиране,False
кои наследници дължат данък наследство,Пазар Разсрочени плащания,c16a917b-2920-4490-a5b9-eecd18ec4bb5,Кои наследници дължат данък наследство,Пазар Разсрочени плащания,False
има ли гратисен период на кредитна карта dsk maxi card,Пазар Разсрочени плащания,04da95c6-cbee-42ed-a4ea-38a95df4d5c3,Има ли гратисен период на кредитна карта DSK MAXI CARD,Пазар Разсрочени плащания,False
предимства на ипотечен кредит,Пазар Жилищни и ипотечни кредити,463a42ee-c01a-4f6c-8338-af26b5223ff1,ПРЕДИМСТВА НА ИПОТЕЧЕН КРЕДИТ,Пазар Жилищни и ипотечни кредити,False
каква е твоята квалификация?,Други,e6748491-faa5-4593-a7b5-b8d28df3a8d6,каква е твоята квалификация?,Други,False
какви са ползите за клиента от план без ограничения,Пазар Ежедневно банкиране,c5eaa4fd-3a61-4c16-b9cc-4057392a5259,Какви са ползите за клиента от план без ограничения ,Пазар Ежедневно банкиране,False
"закриване на сметка със салдо до 10,00 лева",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,170f195f-cefd-45b9-aa47-d051887fc9bd,"Закриване на сметка със салдо до 10,00 лева",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
колко е месечната такса за план за младежи?,Пазар Ежедневно банкиране,aaa4f509-ea8b-4617-867f-f7a0ea725334,Колко е месечната такса за План за младежи?,Пазар Ежедневно банкиране,False
какво включва пакет пълен?,Пазар Банково застраховане,9493ddae-bdeb-4f24-8985-baf56640c254,какво включва пакет пълен?,Пазар Банково застраховане,False
има ли дистанционен процес за откриване на сметка дск тийн,Пазар Ежедневно банкиране,880e93b2-da7f-4c25-839c-a98fd27516f5,има ли дистанционен процес за откриване на сметка ДСК Тийн,Пазар Ежедневно банкиране,False
до каква сума може да бъде преведена по мобилен номер през приложението,Пазар Ежедневно банкиране,306a3c37-5314-4076-8b53-89820ad15cbe,До каква сума може да бъде преведена по мобилен номер през приложението,Пазар Ежедневно банкиране,False
може ли да ми кажеш къде се намира документ с номер rl_rm_1.16.03.04_app_05,Други,97c032d6-a57e-49c2-9f80-2d9020b78feb,Може ли да ми кажеш къде се намира документ с номер RL_RM_1.16.03.04_App_05,Други,False
какви са необходимити документи за жилищен кредит,Пазар Жилищни и ипотечни кредити,e84303d2-710c-46fc-91fb-bf0dd1e8b2e7,какви са необходимити документи за жилищен кредит,Пазар Жилищни и ипотечни кредити,False
какви документи са необходими за откриване на набирателна сметка,Пазар Малък бизнес,b71057da-15a9-42e3-80ab-4a80ebb453c5,какви документи са необходими за откриване на набирателна сметка,Пазар Малък бизнес,False
коя е падежната дата за погасяване на задължение по кредитна карта,Пазар Разсрочени плащания,cc7f2fb7-630d-4f33-8e1c-c9fcbc1bb0a8,Коя е падежната дата за погасяване на задължение по кредитна карта,Пазар Разсрочени плащания,False
какъв е максималния лимит за теглене на банкомат с карта на банка дск,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,e8224f01-c325-4f49-abda-244beb70d2f9,какъв е максималния лимит за теглене на банкомат с карта на банка дск ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
как да поискам договорен курс за превод,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,63b6a37d-655d-4ad6-91e7-6f5e26d45d1f,КАК ДА ПОИСКАМ ДОГОВОРЕН КУРС ЗА ПРЕВОД,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
какви условия могат да бъдат предложени на бизнес клиент за ползване на пос терминал,Пазар Малък бизнес,4f3fa695-629f-4205-be3f-4272f65bedc6,Какви условия могат да бъдат предложени на бизнес клиент за ползване на пос терминал,Пазар Малък бизнес,False
кога не се дължи такса за анализ и оценка на обезпечение ?,Пазар Жилищни и ипотечни кредити,45a1b0e9-72c4-40d3-8cf7-fc576fe0e98e,кога не се дължи такса за анализ и оценка на обезпечение ?,Пазар Жилищни и ипотечни кредити,False
колко дебитни карти може да има физическо лице,Пазар Ежедневно банкиране,ff4d3127-8893-4908-8e31-484918fe97f0,колко дебитни карти може да има физическо лице,Пазар Ежедневно банкиране,False
може ли с пълномощно където не е опоменато да се предаде дебитна карта,Support_Services,618095e8-1b49-4993-b8fe-9a5da58fbaac,може ли с пълномощно където не е опоменато да се предаде дебитнА карта,ПРАВНО,False
може ли лице под 18 години да ползва dsk mobile,Пазар Ежедневно банкиране,4387a98a-ebc1-46fb-9dec-aab26eab61e1,може ли лице под 18 години да ползва dsk mobile,Пазар Ежедневно банкиране,False
защо ми е блокирана картата ?,Други,cb07f025-714c-491e-8907-cfbba4106709,Защо ми е блокирана картата ?,Други,False
какви могат да бъдат обезпеченията при ипотечен кредит за гараж ?,Пазар Жилищни и ипотечни кредити,0b46e66e-78c9-465a-9277-744c48d95730,Какви могат да бъдат обезпеченията при ипотечен кредит за гараж ?,Пазар Жилищни и ипотечни кредити,False
каква е процедурата за издаване на удостоверение за липса на задължения?,Няколко пазара,65d3b6d6-c5fb-4a79-b7af-88e2e1bd5218,каква е процедурата за издаване на удостоверение за липса на задължения?,Няколко пазара,False
пекети фирам,Пазар Малък бизнес,e28d39aa-6d1b-45e8-937d-b2a5a1194937,пекети фирам,Пазар Малък бизнес,False
на каква база се определя кой може да изтегли кредит,Няколко пазара,00f79fb5-c059-4e36-84d4-0829e16ebe64,на каква база се определя кой може да изтегли кредит ,Няколко пазара,False
"ако клиент изтегли жилищен кредит и се пенсионира по време на изплащане на кредита, какво трябва да предвидим",Пазар Жилищни и ипотечни кредити,3b986738-6b41-42d8-b5df-887a11988aa0,"Ако клиент изтегли жилищен кредит и се пенсионира по време на изплащане на кредита, какво трябва да предвидим",Пазар Жилищни и ипотечни кредити,False
от къде се създава смс цифров сертификат,Пазар Ежедневно банкиране,16892930-a913-4f44-9860-a81d37a643da,от къде се създава смс цифров сертификат,Пазар Ежедневно банкиране,False
как мога да сменя 6-цифрения пин за вход в приложението dsk mobile?,Пазар Ежедневно банкиране,9bb959de-e039-4733-b85f-dd1f155089a9,Как мога да сменя 6-цифрения ПИН за вход в приложението DSK Mobile?,Пазар Ежедневно банкиране,False
кога се попълва декларация за произход на пари,Support_Services,497134c8-08ea-4bb8-bfce-95629e22bee0,кога се попълва декларация за произход на пари ,ПРАВНО,False
"колко е максималния лихвен процент, до който може да достигне лихвата по ипотечен кредит за покупка на жилищен имот?",Пазар Жилищни и ипотечни кредити,aae32a61-06fd-4191-9d20-3eed45a9ca94,"Колко е максималния лихвен процент, до който може да достигне лихвата по ипотечен кредит за покупка на жилищен имот?",Пазар Жилищни и ипотечни кредити,False
дск открива ли сметки в австралийски долари,Пазар Ежедневно банкиране,aaeb2895-ebac-42a4-b040-520ffa8690a9,дск открива ли сметки в Австралийски долари,Пазар Ежедневно банкиране,False
а при ипотечен кредит за покупка на имот?,Пазар Жилищни и ипотечни кредити,409432a1-8605-48fb-87ef-c6cb4407f138,а при ипотечен кредит за покупка на имот?,Пазар Жилищни и ипотечни кредити,False
"как се прекратява консултация за потребителски кредит в crm, направена от друг служител, ако клиента е пред мен на гише и желае аз да излъча искането.",Support_Services,d116bc1c-cbc9-4638-8840-7f5006d5d47e,"Как се прекратява консултация за потребителски кредит в CRM, направена от друг служител, ако клиента е пред мен на гише и желае аз да излъча искането.",CRM,False
има ли такса за вноска при сметка с план премиум?,Пазар Ежедневно банкиране,960d3e9c-51db-4230-a8b4-27b0b4ab7721,има ли такса за вноска при сметка с план премиум?,Пазар Ежедневно банкиране,False
why can't i get my otp as i changed phone if i want to send or pay money,Други,f020a3ee-7697-4e62-b1fd-cb89ef775e18,why can't i get my OTP as i changed phone if i want to send or pay money,Други,False
задължетелна ли е кк към пакет без ограничение,Пазар Ежедневно банкиране,48b3134b-1786-48c3-b9e9-52b4305425cf,задължетелна ли е КК към пакет без ограничение,Пазар Ежедневно банкиране,False
упф дск родина,Пазар Спестяване и инвестиции,46e0a517-9e1a-4b8d-b3a4-31181d18864e,упф дск родина,Пазар Спестяване и инвестиции,False
кой доход е несеквестируем,Няколко пазара,07b5439b-dd01-4131-aad8-f76434ecfcde,кой доход е несеквестируем,Няколко пазара,False
"служител на банката, ще има ли годишна такса за платинена кредитна карта.",Пазар Разсрочени плащания,6145f675-691c-48a4-b6b3-cba92d1881a1,"Служител на Банката, ще има ли годишна такса за Платинена кредитна карта.",Пазар Разсрочени плащания,False
каква е ползата от кредитна карта?,Пазар Разсрочени плащания,f220fd83-a240-4742-80f8-e8fb0be97b76,Каква е ползата от кредитна карта?,Пазар Разсрочени плащания,False
могат ли лицата под 18 години с teen план да заявяшат на място статичен пин код или трябша с присъствие на родител,Пазар Ежедневно банкиране,4a3f9e88-5f97-46a5-bcc8-7523fd1c7205,Могат ли лицата под 18 години с Teen план да заявяшат на място статичен пин код или трябша с присъствие на родител,Пазар Ежедневно банкиране,False
как се изчислява доходи от чужбина,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,dc7f07ff-074d-48e6-831d-4a87e7a4bb9b,как се изчислява доходи от чужбина ,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False
какви са таксите за валутни преводи на юл,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,9941c4a7-c001-43c3-9943-16bf81b523a4,какви са таксите за валутни преводи на юл,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
цена оценка жик,Пазар Жилищни и ипотечни кредити,465af7c5-68f6-44a5-bdfc-161dcd13e2f5,цена оценка жик,Пазар Жилищни и ипотечни кредити,False
как се анлизират доходи на моряци,Пазар Потребителско кредитиране,c75e4aba-f91c-4edb-a896-b2b5547ba377,как се анлизират доходи на моряци,Пазар Потребителско кредитиране,False
може ли да попитам какви са примуществата на дск мобайл,Пазар Ежедневно банкиране,54dbbedb-61f2-44b5-96f9-20eae8922c09,Може ли да попитам какви са примуществата на ДСК мобайл,Пазар Ежедневно банкиране,False
с каква заплата се назначават новите служители,Други,e41bf4bc-8dd7-4213-9dce-6fa62394b845,с каква заплата се назначават новите служители,Други,False
как се подписват електроонно документи за потребителски кредит в приложението dsk mobile,Пазар Ежедневно банкиране,3a0845f3-8b27-40cb-8521-234cb28d2bfb,Как се подписват електроонно документи за потребителски кредит в приложението DSK MOBILE,Пазар Ежедневно банкиране,False
каква карта се полага при план премиум,Пазар Ежедневно банкиране,c60cc648-9409-483f-9dd0-822cd94a0950,каква карта се полага при план премиум,Пазар Ежедневно банкиране,False
удостоверение за доход?,Няколко пазара,fc281fb5-756f-47a1-8cda-09c3fdfda9bf,Удостоверение за доход?,Няколко пазара,False
кога влизат в сила преференциите за касово теглене по план премиум,Пазар Ежедневно банкиране,7c4c0307-c76e-49bc-a95f-3bfc437b0589,кога влизат в сила преференциите за касово теглене по план премиум,Пазар Ежедневно банкиране,False
ак да извърша превод към наследник от депозит на починал титуляр,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,111253b0-15c4-4dbc-8ad1-4520f5c960d2,ак да извърша превод към наследник от депозит на починал титуляр,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
тип 12 е самоосигуряващ се в регистрите на нои,Други,5996d633-bb7e-4bcc-83fb-18fe5f25d8c3,тип 12 е самоосигуряващ се в регистрите на НОИ,Други,False
откриване на сметка с паспорт,Пазар Ежедневно банкиране,f64782a2-2b9d-4396-9f24-293b37b25435,откриване на сметка с паспорт,Пазар Ежедневно банкиране,False
има ли такса за вноска по кредит на гише,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,a0da676e-3b86-4594-a885-b91dafcf68a5,има ли такса за вноска по кредит на гише,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
"когато има технически проблем с атм, какви такси се прилагат за вноска в офис?",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,d0acc62a-8c74-4f24-897d-5e76b9661083,"Когато има технически проблем с АТМ, какви такси се прилагат за вноска в офис?",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
колко се плаща на служител при откриване на нова сметка онбординг,Други,44987e85-38f1-4a14-979e-21435f921a5d,колко се плаща на служител при откриване на нова сметка онбординг,Други,False
"колко оценки трябва да бъдат направени преди предоставяне на инвестиционни услуги, свързани с търговията с дялове на инвестиционни фондове?",Пазар Спестяване и инвестиции,5457cc97-6b3c-4ef8-ad26-662c20ffabc0,"Колко оценки трябва да бъдат направени преди предоставяне на инвестиционни услуги, свързани с търговията с дялове на инвестиционни фондове?",Пазар Спестяване и инвестиции,False
"мога ли да закрия сметка на упълномощено лице а използва сметките на титуляра, но да не е упоменато изрично че може да закрива сметката",Support_Services,4c8cedb1-a1d1-409f-a64f-fe9c99792f61,"мога ли да закрия сметка на упълномощено лице а използва сметките на титуляра, но да не е упоменато изрично че може да закрива сметката",ПРАВНО,False
кога договор за ползване на премиум план може да бъде служено прекратен от страна на банката,Пазар Ежедневно банкиране,eb2260cd-7160-48ed-bd59-2ed829fbb5ff,кога договор за ползване на премиум план може да бъде служено прекратен от страна на банката,Пазар Ежедневно банкиране,False
какво представлява диверсификация в инвестирането,Пазар Спестяване и инвестиции,c12d6d05-1787-4e0d-9f28-90dc1a9ca98a,какво представлява диверсификация в инвестирането,Пазар Спестяване и инвестиции,False
как да променя основния телефонен номер в bankway,Други,4d28d97d-2fa5-4aa8-b7ea-510c8e93750c,как да променя основния телефонен номер в Bankway,Други,False
трябва ли при подписване на договор за ипотечен кредит да се записва текста че клиента са отказва от 14 дневен ден за размисъл,Пазар Жилищни и ипотечни кредити,ce4e7a16-2d88-4f62-b3e0-b8d657243272,трябва ли при подписване на договор за ипотечен кредит да се записва текста че клиента са отказва от 14 дневен ден за размисъл,Пазар Жилищни и ипотечни кредити,False
може ли да се открива рс на вече регистриран клиент?,Пазар Ежедневно банкиране,0f516d24-c378-45de-98dc-a52895eebd40,Може ли да се открива РС на вече регистриран клиент?,Пазар Ежедневно банкиране,False
дск родина,Пазар Спестяване и инвестиции,ab00e62e-acab-4363-9cc8-412cfb7f2d51,дск родина,Пазар Спестяване и инвестиции,False
добър ден,Други,9addb5a3-4eaa-47c0-a95e-0cbb3784d3f3,ДОбър ден,Други,True
"ще се начислява ли пропорционална годишна такса, при деактивиране на съществуващи кредитни карти mastercard",Пазар Разсрочени плащания,b8c1460c-9b7d-4b58-8bff-695a0a1b9aee,"Ще се начислява ли пропорционална годишна такса, при деактивиране на съществуващи кредитни карти Mastercard",Пазар Разсрочени плащания,False
стъпки по откриване на набирателна сметка,Пазар Малък бизнес,6a2fa801-4486-4932-bfb1-9f534c00b1a1,стъпки по откриване на набирателна сметка,Пазар Малък бизнес,False
по план премиум безплатни ли са пеиодичните преводи с бъдеща дата?,Пазар Ежедневно банкиране,729a8205-488f-44b4-bf93-6496f440cf70,по план Премиум безплатни ли са пеиодичните преводи с бъдеща дата?,Пазар Ежедневно банкиране,False
колко струва такса оценка на обезпечение,Пазар Жилищни и ипотечни кредити,f38dbd1e-77fe-4de6-8c7a-9392924a9e95,колко струва такса оценка на обезпечение,Пазар Жилищни и ипотечни кредити,False
как да увелича лимит на карта дск старт на 300лв,Пазар Разсрочени плащания,b4939866-35b8-486a-ac94-a75b7e362487,как да увелича лимит на карта дск старт на 300лв,Пазар Разсрочени плащания,False
какви документи са нужни за откриване на сметка на лице под пълно запрещение,Support_Services,892bb77f-9b06-4ffa-8e08-2d57a9acbdd9,Какви документи са нужни за откриване на сметка на лице под пълно запрещение,ПРАВНО,False
може ли да се назначи премиум план към сметка в евро,Пазар Ежедневно банкиране,419c7447-cc83-49c7-b122-8b4d1a194e44,Може ли да се назначи Премиум план към сметка  в евро,Пазар Ежедневно банкиране,False
може ли клиент с одобрен ктп да откаже план без ограничение.,Пазар Потребителско кредитиране,743eafa1-4266-4e44-a182-6ac0c29adfbf,Може ли клиент с одобрен КТП да откаже план без ограничение.,Пазар Потребителско кредитиране,False
как да избира пакет по сметката си?,Няколко пазара,0f181e2f-2878-4c5c-9c74-7276c352c522,Как да избира пакет по сметката си?,Няколко пазара,False
kreditni karti,Други,0a567e07-f724-4035-bc41-fe862d747c48,kreditni karti,Други,False
как може клиент да се идентифицира през платформата dsk direct?,Пазар Ежедневно банкиране,e3aba597-a63f-49eb-8851-31454b843311,как може клиент да се идентифицира през платформата DSK Direct?,Пазар Ежедневно банкиране,False
актуаллизиране на лична карта през евро тръст,Други,f927c5df-4337-4952-a156-abad3bf84183,актуаллизиране на лична карта през евро тръст,Други,False
кое е вярно,Други,40e1a551-1ba7-4445-b6a4-57f76dc4e601,кое е вярно,Други,False
ще се увеличи ли работната заплата на служителите в банката,Други,ddfbd532-0640-4b3e-bdfd-521dbcbd3b87,Ще се увеличи ли работната заплата на служителите в банката ,Други,False
банка дск предлага ли зелен кредит за електрически автомобил,Support_Services,8c597d54-a2ce-47c6-8133-ed2b0a91babf,банка дск предлага ли зелен кредит за електрически автомобил,ДСК Лизинг,False
може ли да се вземе доход от майчинство за потребителски кредит,Пазар Потребителско кредитиране,9e867e1e-96af-4881-8d57-d0d22b72663a,може ли да се вземе доход от майчинство за потребителски кредит,Пазар Потребителско кредитиране,False
